Value,Country
16112901,Afghanistan
17700901,Albania
482395262,Algeria
8461349,Andorra
369697129,Angola
15987033,Antigua and Barbuda
390426330,Azerbaijan
306904130,Argentina
3977045970,Australia
1499680428,Austria
24811269,Bahamas
374283060,Bahrain
207293160,Bangladesh
13221692,Armenia
47271343,Barbados
9771333240,Belgium
22256229,Bermuda
1303347,Bhutan
17504529,Bolivia
22167037,Bosnia and Herzegovina
49787065,Botswana
1897392467,Brazil
14199844,Belize
467193,Other Australasia and Oceania
42328912,British Virgin Islands
94293265,Brunei Darussalam
320613636,Bulgaria
32358829,Burma
2043070,Burundi
54502625,Belarus
17690076,Cambodia
42364636,Cameroon
4616593545,Canada
4468248,Cape Verde
216783999,Cayman Islands
2046543,Central African Republic
204987959,Sri Lanka
2589067,Chad
453073964,Chile
13520763560,China
1153731285,Taiwan
229842,Cocos (Keeling) Islands
263980675,Colombia
979926,Comoros
127311566,Congo
91417,Cook Islands
64888399,Costa Rica
122599740,Croatia
25380755,Cuba
260169612,Cyprus
1985733216,Czech Republic
20558916,Benin
2060519280,Denmark
8767225,Dominica
103146585,Dominican Republic
40586218,Ecuador
19315572,El Salvador
20870644,Equatorial Guinea
184164494,Ethiopia
1844517,Eritrea
180911748,Estonia
9701241,Faroe Islands
48373075,Falkland Islands
10157664,Fiji
1128201804,Finland
16272871932,France
492780,French Guiana
7416900,French Polynesia
80413,French Southern Antartic territories
9085006,Djibouti
23411300,Gabon
103996609,Georgia
20245275,Gambia
28868597568,Germany
555036752,Ghana
360113508,Gibraltar
10498,Kiribati
746603124,Greece
2345038,Greenland
8114457,Grenada
3587916,Guadeloupe
28732713,Guatemala
21488697,Guinea
32642043,Guyana
12469009,Haiti
11399968,Honduras
6921852424,Hong Kong
1063933356,Hungary
560802355,Iceland
3302298910,India
538943451,Indonesia
148191836,Iran
227576683,Iraq
14606711856,Ireland
1142154359,Israel
8128076724,Italy
84667244,Côte d'Ivoire
52848052,Jamaica
4844918706,Japan
250036269,Kazakstan
262730882,Jordan
311315512,Kenya
52121,"Korea, Dem. People's Rep. of"
4427425210,South Korea
510619021,Kuwait
3863228,Kyrgyzstan
5746924,Lao People's Democratic Republic
341332223,Other Near & Middle Eastern Countries
2035761,Lesotho
166969248,Latvia
13429659,Liberia
155604594,Libyan Arab Jamahiriya
242334900,Lithuania
186647988,Luxembourg
42064314,Macau (Aomen)
15211851,Madagascar
13368546,Malawi
1316783661,Malaysia
14023464,Maldives
20706361,Mali
338200476,Malta
5005296,Martinique
9368425,Mauritania
68072836,Mauritius
1285423521,Mexico
5918033,Mongolia
42940010,"Moldova, Rep.of"
15108436,Montserrat
843809141,Morocco
13423106,Mozambique
491795648,Oman
133846,Nauru
11423639,Nepal
15754793796,Netherlands
17934648,Aruba
11512128,New Caledonia
380255,Vanuatu
711115380,New Zealand
7208882,Nicaragua
3817429,Niger
968580426,Nigeria
8938,Niue
3072798166,Norway
1159122,Northern Mariana Islands
34709,Micronesia (Federated States of)
432768,Marshall Islands
258074,Palau
627675746,Pakistan
129420635,Panama
47727465,Papua New Guinea
29338229,Paraguay
159326153,Peru
400867435,Philippines
148787,Pitcairn
3099293244,Poland
1150419096,Portugal
952477,Guinea-Bissau
1906917481,Qatar
8319972,Reunion
988264692,Romania
2624271421,Russia
7302349,Rwanda
16564937,Saint Helena
5975963,Saint Kitts and Nevis
1882373,Anguilla
19184291,Saint Lucia
24440,St. Pierre and Miquelon
10818901,Saint Vincent and the Grenadines
3534023,San Marino
148115,Sao Tome and Principe
4920071986,Saudi Arabia
89673272,Senegal
21311757,Seychelles
28757940,Sierra Leone
4618036152,Singapore
436397700,Slovakia
490021958,Viet Nam
191340180,Slovenia
8216784,Somalia
1985416663,South Africa
27205730,Zimbabwe
7459709244,Spain
68619146,Sudan
17717,Western Sahara
12065473,Suriname
3014949,Swaziland
3791584524,Sweden
14975449750,Switzerland
5477250,Syrian Arab Republic
1741214,Tajikistan
1107025661,Thailand
123306217,Togo
396714,Tonga
124758596,Trinidad and Tobago
6797893559,Residual Gulf Arabian Countries
182652157,"Algeria, Tunisia and Libya"
4606650798,Turkey
38069716,Turkmenistan
2755118,Turks and Caicos Islands
49605,Tuvalu
44080603,Uganda
375469730,Ukraine
662618592,Macedonia (the former Yugoslav Rep. of)
1230349504,Egypt
102522642,"Tanzania, United Rep. of "
46010616336,United States of America
9052437,Burkina Faso
123971555,Uruguay
32445285,Uzbekistan
104878039,Venezuela
26356,Wallis and Futuna
172329,Samoa
36033343,Yemen
45887366,Zambia
7496929,Palestine
