,product,variable,value,factor,product,variable,value,factor
0,"Products of agriculture, hunting and related services",Intermediate consumption at basic prices,1.769,Ratio of direct to total,"Products of agriculture, hunting and related services",Intermediate consumption at basic prices,1.005,total impact
1,"Products of forestry, logging and related services",Intermediate consumption at basic prices,1.803,Ratio of direct to total,"Products of forestry, logging and related services",Intermediate consumption at basic prices,1.022,total impact
2,Fish and other fishing products; aquaculture products; support services to fishing,Intermediate consumption at basic prices,1.881,Ratio of direct to total,Fish and other fishing products; aquaculture products; support services to fishing,Intermediate consumption at basic prices,1.071,total impact
3,Coal and lignite,Intermediate consumption at basic prices,1.678,Ratio of direct to total,Coal and lignite,Intermediate consumption at basic prices,0.861,total impact
4,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,Intermediate consumption at basic prices,1.749,Ratio of direct to total,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,Intermediate consumption at basic prices,0.599,total impact
5,Other mining and quarrying products,Intermediate consumption at basic prices,1.786,Ratio of direct to total,Other mining and quarrying products,Intermediate consumption at basic prices,0.865,total impact
6,Mining support services,Intermediate consumption at basic prices,1.839,Ratio of direct to total,Mining support services,Intermediate consumption at basic prices,1.183,total impact
7,Preserved meat and meat products,Intermediate consumption at basic prices,2.021,Ratio of direct to total,Preserved meat and meat products,Intermediate consumption at basic prices,1.453,total impact
8,"Processed and preserved fish, crustaceans, molluscs, fruit and vegetables",Intermediate consumption at basic prices,1.914,Ratio of direct to total,"Processed and preserved fish, crustaceans, molluscs, fruit and vegetables",Intermediate consumption at basic prices,1.354,total impact
9,Vegetable and animal oils and fats,Intermediate consumption at basic prices,1.895,Ratio of direct to total,Vegetable and animal oils and fats,Intermediate consumption at basic prices,1.017,total impact
10,Dairy products,Intermediate consumption at basic prices,1.922,Ratio of direct to total,Dairy products,Intermediate consumption at basic prices,1.396,total impact
11,"Grain mill products, starches and starch products",Intermediate consumption at basic prices,1.938,Ratio of direct to total,"Grain mill products, starches and starch products",Intermediate consumption at basic prices,1.329,total impact
12,Bakery and farinaceous products,Intermediate consumption at basic prices,1.892,Ratio of direct to total,Bakery and farinaceous products,Intermediate consumption at basic prices,1.06,total impact
13,Other food products,Intermediate consumption at basic prices,1.905,Ratio of direct to total,Other food products,Intermediate consumption at basic prices,0.992,total impact
14,Prepared animal feeds,Intermediate consumption at basic prices,2.049,Ratio of direct to total,Prepared animal feeds,Intermediate consumption at basic prices,1.548,total impact
15,Alcoholic beverages  & Tobacco products,Intermediate consumption at basic prices,1.796,Ratio of direct to total,Alcoholic beverages  & Tobacco products,Intermediate consumption at basic prices,1.025,total impact
16,Soft drinks,Intermediate consumption at basic prices,1.765,Ratio of direct to total,Soft drinks,Intermediate consumption at basic prices,1.012,total impact
17,Textiles,Intermediate consumption at basic prices,1.7,Ratio of direct to total,Textiles,Intermediate consumption at basic prices,0.484,total impact
18,Wearing apparel,Intermediate consumption at basic prices,1.615,Ratio of direct to total,Wearing apparel,Intermediate consumption at basic prices,0.566,total impact
19,Leather and related products,Intermediate consumption at basic prices,1.699,Ratio of direct to total,Leather and related products,Intermediate consumption at basic prices,0.697,total impact
20,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Intermediate consumption at basic prices,1.767,Ratio of direct to total,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Intermediate consumption at basic prices,0.59,total impact
21,Paper and paper products,Intermediate consumption at basic prices,1.737,Ratio of direct to total,Paper and paper products,Intermediate consumption at basic prices,0.729,total impact
22,Printing and recording services,Intermediate consumption at basic prices,1.68,Ratio of direct to total,Printing and recording services,Intermediate consumption at basic prices,0.602,total impact
23,Coke and refined petroleum products,Intermediate consumption at basic prices,1.806,Ratio of direct to total,Coke and refined petroleum products,Intermediate consumption at basic prices,0.146,total impact
24,"Paints, varnishes and similar coatings, printing ink and mastics",Intermediate consumption at basic prices,1.707,Ratio of direct to total,"Paints, varnishes and similar coatings, printing ink and mastics",Intermediate consumption at basic prices,0.729,total impact
