,import requirements,output product,value,proportion
0,"A01 Products of agriculture, hunting and related services","A01 Products of agriculture, hunting and related services",443.0691357456978,0.7057983115905574
1,"A02 Products of forestry, logging and related services","A01 Products of agriculture, hunting and related services",0.9152956151188526,0.0014580435594320216
2,A03 Fish and other fishing products; aquaculture products; support services to fishing,"A01 Products of agriculture, hunting and related services",0.0,0.0
3,B05 Coal and lignite,"A01 Products of agriculture, hunting and related services",0.0,0.0
4,B06 & B07 Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,"A01 Products of agriculture, hunting and related services",0.0,0.0
5,B08 Other mining and quarrying products,"A01 Products of agriculture, hunting and related services",0.0,0.0
6,B09 Mining support services,"A01 Products of agriculture, hunting and related services",0.0,0.0
7,C101 Preserved meat and meat products,"A01 Products of agriculture, hunting and related services",1.82385375511179,0.0029053544855465563
8,"C102_3 Processed and preserved fish, crustaceans, molluscs, fruit and vegetables","A01 Products of agriculture, hunting and related services",0.0,0.0
9,C104 Vegetable and animal oils and fats,"A01 Products of agriculture, hunting and related services",0.003155709965189032,5.026968898547437e-06
10,C105 Dairy products,"A01 Products of agriculture, hunting and related services",0.0,0.0
11,"C106 Grain mill products, starches and starch products","A01 Products of agriculture, hunting and related services",0.0,0.0
12,C107 Bakery and farinaceous products,"A01 Products of agriculture, hunting and related services",0.0,0.0
13,C108 Other food products,"A01 Products of agriculture, hunting and related services",1.834159609973026,0.0029217714606272413
14,C109 Prepared animal feeds,"A01 Products of agriculture, hunting and related services",9.152218263849521,0.01457926015781156
15,C11.01-6 & C12 Alcoholic beverages  & Tobacco products,"A01 Products of agriculture, hunting and related services",0.0,0.0
16,C1107 Soft drinks,"A01 Products of agriculture, hunting and related services",0.0,0.0
17,C13 Textiles,"A01 Products of agriculture, hunting and related services",0.0,0.0
18,C14 Wearing apparel,"A01 Products of agriculture, hunting and related services",0.0,0.0
19,C15 Leather and related products,"A01 Products of agriculture, hunting and related services",0.0,0.0
20,"C16 Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials","A01 Products of agriculture, hunting and related services",0.0,0.0
21,C17 Paper and paper products,"A01 Products of agriculture, hunting and related services",8.250885081991594,0.013143458413541573
22,C18 Printing and recording services,"A01 Products of agriculture, hunting and related services",0.0,0.0
23,C19 Coke and refined petroleum products,"A01 Products of agriculture, hunting and related services",0.9211279232914833,0.001467334283900993
24,"C203 Paints, varnishes and similar coatings, printing ink and mastics","A01 Products of agriculture, hunting and related services",0.0,0.0
25,"C204 Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","A01 Products of agriculture, hunting and related services",0.0,0.0
26,C205 Other chemical products,"A01 Products of agriculture, hunting and related services",0.0,0.0
27,"C20A Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15","A01 Products of agriculture, hunting and related services",23.80532345529859,0.037921298835990935
28,C20B Petrochemicals - 20.14/16/17/60,"A01 Products of agriculture, hunting and related services",0.0,0.0
29,"C20C Dyestuffs, agro-chemicals - 20.12/20","A01 Products of agriculture, hunting and related services",0.9147313344435489,0.0014571446740984219
30,C21 Basic pharmaceutical products and pharmaceutical preparations,"A01 Products of agriculture, hunting and related services",1.831167063628874,0.002917004407391849
31,C22 Rubber and plastic products,"A01 Products of agriculture, hunting and related services",25.6778084288635,0.040904121664749965
32,"C235_6 Cement, lime, plaster and articles of concrete, cement and plaster","A01 Products of agriculture, hunting and related services",0.0,0.0
33,"C23OTHER Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9","A01 Products of agriculture, hunting and related services",0.0,0.0
34,C241_3 Basic iron and steel,"A01 Products of agriculture, hunting and related services",0.0,0.0
