,output product,import requirements,value
0,"Products of agriculture, hunting and related services","Crop And Animal Production, Hunting And Related Service Activities",443
1,"Products of forestry, logging and related services","Crop And Animal Production, Hunting And Related Service Activities",1
2,Fish and other fishing products; aquaculture products; support services to fishing,"Crop And Animal Production, Hunting And Related Service Activities",0
3,Coal and lignite,"Crop And Animal Production, Hunting And Related Service Activities",0
4,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,"Crop And Animal Production, Hunting And Related Service Activities",0
5,Other mining and quarrying products,"Crop And Animal Production, Hunting And Related Service Activities",0
6,Mining support services,"Crop And Animal Production, Hunting And Related Service Activities",0
7,Preserved meat and meat products,"Crop And Animal Production, Hunting And Related Service Activities",2
8,"Processed and preserved fish, crustaceans, molluscs, fruit and vegetables","Crop And Animal Production, Hunting And Related Service Activities",0
9,Vegetable and animal oils and fats,"Crop And Animal Production, Hunting And Related Service Activities",0
10,Dairy products,"Crop And Animal Production, Hunting And Related Service Activities",0
11,"Grain mill products, starches and starch products","Crop And Animal Production, Hunting And Related Service Activities",0
12,Bakery and farinaceous products,"Crop And Animal Production, Hunting And Related Service Activities",0
13,Other food products,"Crop And Animal Production, Hunting And Related Service Activities",2
14,Prepared animal feeds,"Crop And Animal Production, Hunting And Related Service Activities",9
15,Alcoholic beverages  & Tobacco products,"Crop And Animal Production, Hunting And Related Service Activities",0
16,Soft drinks,"Crop And Animal Production, Hunting And Related Service Activities",0
17,Textiles,"Crop And Animal Production, Hunting And Related Service Activities",0
18,Wearing apparel,"Crop And Animal Production, Hunting And Related Service Activities",0
19,Leather and related products,"Crop And Animal Production, Hunting And Related Service Activities",0
20,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials","Crop And Animal Production, Hunting And Related Service Activities",0
21,Paper and paper products,"Crop And Animal Production, Hunting And Related Service Activities",8
22,Printing and recording services,"Crop And Animal Production, Hunting And Related Service Activities",0
23,Coke and refined petroleum products,"Crop And Animal Production, Hunting And Related Service Activities",1
24,"Paints, varnishes and similar coatings, printing ink and mastics","Crop And Animal Production, Hunting And Related Service Activities",0
25,"Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","Crop And Animal Production, Hunting And Related Service Activities",0
26,Other chemical products,"Crop And Animal Production, Hunting And Related Service Activities",0
27,"Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15","Crop And Animal Production, Hunting And Related Service Activities",24
28,Petrochemicals - 20.14/16/17/60,"Crop And Animal Production, Hunting And Related Service Activities",0
29,"Dyestuffs, agro-chemicals - 20.12/20","Crop And Animal Production, Hunting And Related Service Activities",1
30,Basic pharmaceutical products and pharmaceutical preparations,"Crop And Animal Production, Hunting And Related Service Activities",2
31,Rubber and plastic products,"Crop And Animal Production, Hunting And Related Service Activities",26
32,"Cement, lime, plaster and articles of concrete, cement and plaster","Crop And Animal Production, Hunting And Related Service Activities",0
33,"Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9","Crop And Animal Production, Hunting And Related Service Activities",0
34,Basic iron and steel,"Crop And Animal Production, Hunting And Related Service Activities",0
35,Other basic metals and casting,"Crop And Animal Production, Hunting And Related Service Activities",0
36,Weapons and ammunition,"Crop And Animal Production, Hunting And Related Service Activities",0
37,"Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9","Crop And Animal Production, Hunting And Related Service Activities",6
38,"Computer, electronic and optical products","Crop And Animal Production, Hunting And Related Service Activities",23
39,Electrical equipment,"Crop And Animal Production, Hunting And Related Service Activities",0
40,Machinery and equipment n.e.c.,"Crop And Animal Production, Hunting And Related Service Activities",10
41,"Motor vehicles, trailers and semi-trailers","Crop And Animal Production, Hunting And Related Service Activities",0
42,Ships and boats,"Crop And Animal Production, Hunting And Related Service Activities",0
43,Air and spacecraft and related machinery,"Crop And Animal Production, Hunting And Related Service Activities",0
44,Other transport equipment - 30.2/4/9,"Crop And Animal Production, Hunting And Related Service Activities",0
45,Furniture,"Crop And Animal Production, Hunting And Related Service Activities",0
46,Other manufactured goods,"Crop And Animal Production, Hunting And Related Service Activities",1
47,Repair and maintenance of ships and boats,"Crop And Animal Production, Hunting And Related Service Activities",0
48,Repair and maintenance of aircraft and spacecraft,"Crop And Animal Production, Hunting And Related Service Activities",0
49,Rest of repair; Installation - 33.11-14/17/19/20,"Crop And Animal Production, Hunting And Related Service Activities",0
50,"Electricity, transmission and distribution","Crop And Animal Production, Hunting And Related Service Activities",0
51,Gas; distribution of gaseous fuels through mains; steam and air conditioning supply,"Crop And Animal Production, Hunting And Related Service Activities",0
52,Natural water; water treatment and supply services,"Crop And Animal Production, Hunting And Related Service Activities",0
53,Sewerage services; sewage sludge,"Crop And Animal Production, Hunting And Related Service Activities",0
54,"Waste collection, treatment and disposal services; materials recovery services","Crop And Animal Production, Hunting And Related Service Activities",1
55,Remediation services and other waste management services,"Crop And Animal Production, Hunting And Related Service Activities",0
56,Construction,"Crop And Animal Production, Hunting And Related Service Activities",3
57,Wholesale and retail trade and repair services of motor vehicles and motorcycles,"Crop And Animal Production, Hunting And Related Service Activities",0
58,"Wholesale trade services, except of motor vehicles and motorcycles","Crop And Animal Production, Hunting And Related Service Activities",0
59,"Retail trade services, except of motor vehicles and motorcycles","Crop And Animal Production, Hunting And Related Service Activities",0
60,Rail transport services,"Crop And Animal Production, Hunting And Related Service Activities",0
61,"Land transport services and transport services via pipelines, excluding rail transport","Crop And Animal Production, Hunting And Related Service Activities",16
62,Water transport services,"Crop And Animal Production, Hunting And Related Service Activities",0
63,Air transport services,"Crop And Animal Production, Hunting And Related Service Activities",0
64,Warehousing and support services for transportation,"Crop And Animal Production, Hunting And Related Service Activities",0
65,Postal and courier services,"Crop And Animal Production, Hunting And Related Service Activities",0
66,Accommodation services,"Crop And Animal Production, Hunting And Related Service Activities",0
67,Food and beverage serving services,"Crop And Animal Production, Hunting And Related Service Activities",0
68,Publishing services,"Crop And Animal Production, Hunting And Related Service Activities",0
69,"Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities","Crop And Animal Production, Hunting And Related Service Activities",0
70,Telecommunications services,"Crop And Animal Production, Hunting And Related Service Activities",0
71,"Computer programming, consultancy and related services","Crop And Animal Production, Hunting And Related Service Activities",3
72,Information services,"Crop And Animal Production, Hunting And Related Service Activities",0
73,"Financial services, except insurance and pension funding","Crop And Animal Production, Hunting And Related Service Activities",2
74,"Insurance, reinsurance and pension funding services, except compulsory social security","Crop And Animal Production, Hunting And Related Service Activities",6
75,Services auxiliary to financial services and insurance services,"Crop And Animal Production, Hunting And Related Service Activities",0
76,Real estate services on a fee or contract basis,"Crop And Animal Production, Hunting And Related Service Activities",0
77,Owner-Occupiers' Housing Services,"Crop And Animal Production, Hunting And Related Service Activities",0
78,"Real estate services, excluding on a fee or contract basis and imputed rent","Crop And Animal Production, Hunting And Related Service Activities",0
79,Legal services,"Crop And Animal Production, Hunting And Related Service Activities",0
80,"Accounting, bookkeeping and auditing services; tax consulting services","Crop And Animal Production, Hunting And Related Service Activities",4
81,Services of head offices; management consulting services,"Crop And Animal Production, Hunting And Related Service Activities",20
82,Architectural and engineering services; technical testing and analysis services,"Crop And Animal Production, Hunting And Related Service Activities",6
83,Scientific research and development services,"Crop And Animal Production, Hunting And Related Service Activities",0
84,Advertising and market research services,"Crop And Animal Production, Hunting And Related Service Activities",2
85,"Other professional, scientific and technical services","Crop And Animal Production, Hunting And Related Service Activities",0
86,Veterinary services,"Crop And Animal Production, Hunting And Related Service Activities",0
87,Rental and leasing services,"Crop And Animal Production, Hunting And Related Service Activities",3
88,Employment services,"Crop And Animal Production, Hunting And Related Service Activities",4
89,"Travel agency, tour operator and other reservation services and related services","Crop And Animal Production, Hunting And Related Service Activities",0
90,Security and investigation services,"Crop And Animal Production, Hunting And Related Service Activities",0
91,Services to buildings and landscape,"Crop And Animal Production, Hunting And Related Service Activities",0
92,"Office administrative, office support and other business support services","Crop And Animal Production, Hunting And Related Service Activities",0
93,Public administration and defence services; compulsory social security services,"Crop And Animal Production, Hunting And Related Service Activities",0
94,Education services,"Crop And Animal Production, Hunting And Related Service Activities",0
95,Human health services,"Crop And Animal Production, Hunting And Related Service Activities",0
96,Residential Care  & Social Work Activities,"Crop And Animal Production, Hunting And Related Service Activities",0
97,"Creative, arts and entertainment services","Crop And Animal Production, Hunting And Related Service Activities",0
98,"Libraries, archives, museums and other cultural services","Crop And Animal Production, Hunting And Related Service Activities",0
99,Gambling and betting services,"Crop And Animal Production, Hunting And Related Service Activities",0
100,Sports services and amusement and recreation services,"Crop And Animal Production, Hunting And Related Service Activities",0
101,Services furnished by membership organisations,"Crop And Animal Production, Hunting And Related Service Activities",0
102,Repair services of computers and personal and household goods,"Crop And Animal Production, Hunting And Related Service Activities",0
103,Other personal services,"Crop And Animal Production, Hunting And Related Service Activities",0
104,Services of households as employers of domestic personnel,"Crop And Animal Production, Hunting And Related Service Activities",0
105,"Products of agriculture, hunting and related services",Forestry And Logging,3
106,"Products of forestry, logging and related services",Forestry And Logging,6
107,Fish and other fishing products; aquaculture products; support services to fishing,Forestry And Logging,0
108,Coal and lignite,Forestry And Logging,0
109,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,Forestry And Logging,0
110,Other mining and quarrying products,Forestry And Logging,0
111,Mining support services,Forestry And Logging,0
112,Preserved meat and meat products,Forestry And Logging,0
113,"Processed and preserved fish, crustaceans, molluscs, fruit and vegetables",Forestry And Logging,0
114,Vegetable and animal oils and fats,Forestry And Logging,0
115,Dairy products,Forestry And Logging,0
116,"Grain mill products, starches and starch products",Forestry And Logging,0
117,Bakery and farinaceous products,Forestry And Logging,0
118,Other food products,Forestry And Logging,0
119,Prepared animal feeds,Forestry And Logging,0
120,Alcoholic beverages  & Tobacco products,Forestry And Logging,0
121,Soft drinks,Forestry And Logging,0
122,Textiles,Forestry And Logging,0
123,Wearing apparel,Forestry And Logging,0
124,Leather and related products,Forestry And Logging,0
125,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Forestry And Logging,0
126,Paper and paper products,Forestry And Logging,0
127,Printing and recording services,Forestry And Logging,0
128,Coke and refined petroleum products,Forestry And Logging,0
129,"Paints, varnishes and similar coatings, printing ink and mastics",Forestry And Logging,0
130,"Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",Forestry And Logging,0
131,Other chemical products,Forestry And Logging,0
