,domestic input requirements,output product,value,proportion
0,"Products of agriculture, hunting and related services","Products of agriculture, hunting and related services",3197.593646864686,0.21118551857538478
1,"Products of forestry, logging and related services","Products of agriculture, hunting and related services",114.4286303630363,0.0075574548588385635
2,Fish and other fishing products; aquaculture products; support services to fishing,"Products of agriculture, hunting and related services",0.0,0.0
3,Coal and lignite,"Products of agriculture, hunting and related services",0.0,0.0
4,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,"Products of agriculture, hunting and related services",0.0,0.0
5,Other mining and quarrying products,"Products of agriculture, hunting and related services",0.0,0.0
6,Mining support services,"Products of agriculture, hunting and related services",0.0,0.0
7,Preserved meat and meat products,"Products of agriculture, hunting and related services",10.07050848883216,0.0006651081383080547
8,"Processed and preserved fish, crustaceans, molluscs, fruit and vegetables","Products of agriculture, hunting and related services",7.330533495198974,0.0004841461075380148
9,Vegetable and animal oils and fats,"Products of agriculture, hunting and related services",0.0002254333957032395,1.4888780074503697e-08
10,Dairy products,"Products of agriculture, hunting and related services",6.414202718711872,0.00042362691354700836
11,"Grain mill products, starches and starch products","Products of agriculture, hunting and related services",3.661716171617161,0.000241838555482834
12,Bakery and farinaceous products,"Products of agriculture, hunting and related services",10.99394041728391,0.0007260963288714076
13,Other food products,"Products of agriculture, hunting and related services",1.830970802506432,0.00012092672213145423
14,Prepared animal feeds,"Products of agriculture, hunting and related services",1233.082920792079,0.08143913355884434
15,Alcoholic beverages  & Tobacco products,"Products of agriculture, hunting and related services",0.0,0.0
16,Soft drinks,"Products of agriculture, hunting and related services",0.0,0.0
17,Textiles,"Products of agriculture, hunting and related services",0.0,0.0
18,Wearing apparel,"Products of agriculture, hunting and related services",0.0,0.0
19,Leather and related products,"Products of agriculture, hunting and related services",0.0,0.0
20,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials","Products of agriculture, hunting and related services",0.0,0.0
21,Paper and paper products,"Products of agriculture, hunting and related services",55.84128433385956,0.0036880454155032555
22,Printing and recording services,"Products of agriculture, hunting and related services",0.0,0.0
23,Coke and refined petroleum products,"Products of agriculture, hunting and related services",925.5096958959293,0.06112541700411992
24,"Paints, varnishes and similar coatings, printing ink and mastics","Products of agriculture, hunting and related services",0.0,0.0
25,"Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","Products of agriculture, hunting and related services",0.0,0.0
26,Other chemical products,"Products of agriculture, hunting and related services",0.0,0.0
27,"Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15","Products of agriculture, hunting and related services",482.431105610561,0.03186222968486338
28,Petrochemicals - 20.14/16/17/60,"Products of agriculture, hunting and related services",0.0,0.0
29,"Dyestuffs, agro-chemicals - 20.12/20","Products of agriculture, hunting and related services",1400.606435643564,0.092503247472184
30,Basic pharmaceutical products and pharmaceutical preparations,"Products of agriculture, hunting and related services",218.7875412541254,0.01444985369009933
31,Rubber and plastic products,"Products of agriculture, hunting and related services",759.8062183272589,0.05018150770707809
32,"Cement, lime, plaster and articles of concrete, cement and plaster","Products of agriculture, hunting and related services",0.0,0.0
33,"Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9","Products of agriculture, hunting and related services",0.0,0.0
34,Basic iron and steel,"Products of agriculture, hunting and related services",0.0,0.0
35,Other basic metals and casting,"Products of agriculture, hunting and related services",0.0,0.0
36,Weapons and ammunition,"Products of agriculture, hunting and related services",0.0,0.0
37,"Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9","Products of agriculture, hunting and related services",163.9056454753322,0.010825171225581309
38,"Computer, electronic and optical products","Products of agriculture, hunting and related services",0.009355485921684437,6.178843730919034e-07
39,Electrical equipment,"Products of agriculture, hunting and related services",0.0,0.0
40,Machinery and equipment n.e.c.,"Products of agriculture, hunting and related services",6.408003300330033,0.0004232174720949595
41,"Motor vehicles, trailers and semi-trailers","Products of agriculture, hunting and related services",0.0,0.0
42,Ships and boats,"Products of agriculture, hunting and related services",0.0,0.0
43,Air and spacecraft and related machinery,"Products of agriculture, hunting and related services",0.0,0.0
44,Other transport equipment - 30.2/4/9,"Products of agriculture, hunting and related services",0.0,0.0
45,Furniture,"Products of agriculture, hunting and related services",0.0,0.0
46,Other manufactured goods,"Products of agriculture, hunting and related services",16.47783548897508,0.0010882809440627905
47,Repair and maintenance of ships and boats,"Products of agriculture, hunting and related services",0.0,0.0
48,Repair and maintenance of aircraft and spacecraft,"Products of agriculture, hunting and related services",0.0,0.0
49,Rest of repair; Installation - 33.11-14/17/19/20,"Products of agriculture, hunting and related services",48.56846178796062,0.003207710835664314
50,"Electricity, transmission and distribution","Products of agriculture, hunting and related services",254.5241033870289,0.016810079922578477
51,Gas; distribution of gaseous fuels through mains; steam and air conditioning supply,"Products of agriculture, hunting and related services",3.671635241028103,0.0002424936618061121
52,Natural water; water treatment and supply services,"Products of agriculture, hunting and related services",27.46985972239551,0.0018142507183035645
53,Sewerage services; sewage sludge,"Products of agriculture, hunting and related services",52.18340052996935,0.0034464599692816877
54,"Waste collection, treatment and disposal services; materials recovery services","Products of agriculture, hunting and related services",130.9081566024792,0.008645847468751916
55,Remediation services and other waste management services,"Products of agriculture, hunting and related services",0.0,0.0
56,Construction,"Products of agriculture, hunting and related services",255.4350237620191,0.016870241785847694
57,Wholesale and retail trade and repair services of motor vehicles and motorcycles,"Products of agriculture, hunting and related services",271.8828766093656,0.01795654252216057
58,"Wholesale trade services, except of motor vehicles and motorcycles","Products of agriculture, hunting and related services",1718.29243779024,0.11348486381148043
59,"Retail trade services, except of motor vehicles and motorcycles","Products of agriculture, hunting and related services",407.37742119559,0.026905298625249076
60,Rail transport services,"Products of agriculture, hunting and related services",0.0,0.0
61,"Land transport services and transport services via pipelines, excluding rail transport","Products of agriculture, hunting and related services",332.3607078575145,0.021950809325567006
62,Water transport services,"Products of agriculture, hunting and related services",0.0,0.0
63,Air transport services,"Products of agriculture, hunting and related services",0.04418494555783494,2.918200894602725e-06
64,Warehousing and support services for transportation,"Products of agriculture, hunting and related services",0.08724272413715367,5.7619578888329305e-06
65,Postal and courier services,"Products of agriculture, hunting and related services",54.9842425404424,0.003631441970671843
66,Accommodation services,"Products of agriculture, hunting and related services",0.08656642395004395,5.717291548609419e-06
67,Food and beverage serving services,"Products of agriculture, hunting and related services",3.698349098418938,0.0002442579822449409
68,Publishing services,"Products of agriculture, hunting and related services",0.0,0.0
69,"Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities","Products of agriculture, hunting and related services",0.0,0.0
70,Telecommunications services,"Products of agriculture, hunting and related services",189.5609910331077,0.012519582102698865
71,"Computer programming, consultancy and related services","Products of agriculture, hunting and related services",66.0012898807859,0.004359064399500888
72,Information services,"Products of agriculture, hunting and related services",0.04689014630627381,3.096866255496769e-06
73,"Financial services, except insurance and pension funding","Products of agriculture, hunting and related services",968.5561643683249,0.06396842702076025
74,"Insurance, reinsurance and pension funding services, except compulsory social security","Products of agriculture, hunting and related services",162.0342093782971,0.010701571967426486
